filename,label
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0028.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0029.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0031.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0032.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0033.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0035.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0036.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0037.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0039.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0040.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0041.mat,healthy
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0002.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0004.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0005.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0006.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0008.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0009.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0001.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0003.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0004.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0005.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0007.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0008.mat,defect
AMITIE_Tepex_WRC1331_5_Poren_UK_750GHz_0009.mat,defect
AMITIE_Tepex_WRC1331_1_1_FV_L_Deckl_750GHz_Rueckseite_0002.mat,defect
AMITIE_Tepex_WRC1331_1_1_FV_L_Deckl_750GHz_Rueckseite_0003.mat,defect
AMITIE_Tepex_WRC1331_1_1_FV_L_Deckl_750GHz_Rueckseite_0004.mat,defect
AMITIE_Tepex_WRC1331_1_1_FV_L_Deckl_750GHz_Rueckseite_0007.mat,defect
AMITIE_Tepex_WRC1331_1_1_FV_L_Deckl_750GHz_Rueckseite_0008.mat,defect
AMITIE_Tepex_WRC1331_1_2_FV_L_Mitte_750GHz_Rueckseite_0001.mat,defect
AMITIE_Tepex_WRC1331_1_2_FV_L_Mitte_750GHz_Rueckseite_0002.mat,defect
AMITIE_Tepex_WRC1331_1_2_FV_L_Mitte_750GHz_Rueckseite_0005.mat,defect
AMITIE_Tepex_WRC1331_1_2_FV_L_Mitte_750GHz_Rueckseite_0006.mat,defect
AMITIE_Tepex_WRC1331_1_2_FV_L_Mitte_750GHz_Rueckseite_0009.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0002.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0004.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0005.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0006.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0008.mat,defect
AMITIE_Tepex_WRC1331_2_1_FV_Deckl_750GHz_0009.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0001.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0003.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0004.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0007.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0008.mat,defect
AMITIE_Tepex_WRC1331_2_2_FV_Mitte_750GHz_0009.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0002.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0003.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0004.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0006.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0007.mat,defect
AMITIE_Tepex_WRC1331_3_1_FB_Deckl_750GHz_0008.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0002.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0003.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0005.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0006.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0007.mat,defect
AMITIE_Tepex_WRC1331_3_2_FB_Mitte_750GHz_0009.mat,defect
AMITIE_Tepex_WRC1331_4_Delamination_750GHz_0001.mat,defect
